
===== CMD_SET 0x00 (0) [general] =====
  0x05/0x08 (  8)  req=uav_centerboard_get_request_battery_history_state_req  rsp=uav_centerboard_get_request_battery_history_state_rsp
  0x05/0x09 (  9)  req=uav_centerboard_battery_self_discharge_req  rsp=uav_centerboard_battery_self_discharge_rsp
  0x05/0x21 ( 33)  req=uav_centerboard_get_request_battery_static_info_req  rsp=uav_centerboard_get_request_battery_static_info_rsp
  0x05/0x33 ( 51)  req=uav_centerboard_get_get_battery_barcode_req  rsp=uav_centerboard_get_get_battery_barcode_rsp

===== CMD_SET 0x06 (6) [rc] =====
  0x06/0x03 (  3)  req=uav_rc_calibrate_channels_req  rsp=uav_rc_calibrate_channels_rsp
  0x06/0x06 (  6)  req=uav_rc_set_machine_mode_req  rsp=uav_rc_set_machine_mode_rsp
  0x06/0x07 (  7)  req=uav_rc_get_machine_mode_req  rsp=uav_rc_get_machine_mode_rsp
  0x06/0x0A ( 10)  req=uav_rc_set_local_machine_password_req  rsp=uav_rc_set_local_machine_password_rsp
  0x06/0x0B ( 11)  req=uav_rc_get_local_machine_password_req  rsp=uav_rc_get_local_machine_password_rsp
  0x06/0x11 ( 17)  req=uav_rc_set_machine_function_switch_req  rsp=uav_rc_set_machine_function_switch_rsp
  0x06/0x12 ( 18)  req=uav_rc_get_machine_function_switch_req  rsp=uav_rc_get_machine_function_switch_rsp
  0x06/0x19 ( 25)  req=uav_rc_set_controller_mode_req  rsp=uav_rc_set_controller_mode_rsp
  0x06/0x1A ( 26)  req=uav_rc_get_controller_mode_req  rsp=uav_rc_get_controller_mode_rsp
  0x06/0x21 ( 33)  req=uav_rc_get_ce_fcc_req  rsp=uav_rc_get_ce_fcc_rsp
  0x06/0x22 ( 34)  req=uav_rc_get_gimbal_control_req  rsp=uav_rc_get_gimbal_control_rsp
  0x06/0x23 ( 35)  req=uav_rc_request_gimbal_control_rsp  rsp=
  0x06/0x2A ( 42)  req=uav_rc_get_slave_control_mode_req  rsp=uav_rc_get_slave_control_mode_rsp
  0x06/0x2C ( 44)  req=uav_rc_get_gimbal_control_speed_req  rsp=uav_rc_get_gimbal_control_speed_rsp
